,molecule_chembl_id,standard_value,standard_units,target_chembl_id,smiles
167315,CHEMBL4590484,530.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(NC3CCC3)c12
167316,CHEMBL4439028,4700.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(NC3CC3)c12
167317,CHEMBL4462258,880.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(NC(C)C)c12
167318,CHEMBL4453650,2400.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(NCC3CC3)c12
167319,CHEMBL4565959,300.0,nM,CHEMBL1075104,CC[C@H](C)Nc1nccc2[nH]nc(C)c12
167320,CHEMBL4524629,67.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(OC3CCCCC3)c12
167321,CHEMBL4585168,1900.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(OC3CCN(C)CC3)c12
167322,CHEMBL4552576,440.0,nM,CHEMBL1075104,CCOc1nccc2[nH]nc(C)c12
167323,CHEMBL4574890,68.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(OC(C)C)c12
167324,CHEMBL2152709,86.0,nM,CHEMBL1075104,Cc1[nH]nc2ccnc(OC3CCCC3)c12
167325,CHEMBL4581712,170.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(OC3CCC3)c12
167326,CHEMBL4465944,250.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(O[C@@H]3CCOC3)c12
167327,CHEMBL4560505,130.0,nM,CHEMBL1075104,Cn1cc(-c2n[nH]c3ccnc(NC4CCCCC4)c23)cn1
167328,CHEMBL4465653,110.0,nM,CHEMBL1075104,CC(C)n1cc(-c2n[nH]c3ccnc(NC4CCCCC4)c23)cn1
167329,CHEMBL4473011,170.0,nM,CHEMBL1075104,c1cc2[nH]nc(-c3cnn(C4CCCC4)c3)c2c(NC2CCOCC2)n1
167330,CHEMBL4516855,410.0,nM,CHEMBL1075104,CC(C)Cn1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)cn1
167331,CHEMBL4444153,2.0,nM,CHEMBL1075104,CC(C)n1cc(-c2n[nH]c3ccnc(OC4CCCCC4)c23)cn1
167332,CHEMBL4589022,11.0,nM,CHEMBL1075104,CC(C)n1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1
167333,CHEMBL3651739,4.0,nM,CHEMBL1075104,c1cc2[nH]nc(-c3cnn(C4CCCC4)c3)c2c(OC2CCOCC2)n1
167334,CHEMBL4561299,15.0,nM,CHEMBL1075104,CC(C)Cn1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1
167335,CHEMBL4566610,770.0,nM,CHEMBL1075104,Cc1n[nH]c2cncc(NC3CCCCC3)c12
167336,CHEMBL4588446,130.0,nM,CHEMBL1075104,Cc1n[nH]c2ccnc(Nc3ccc4ncsc4c3)c12
167337,CHEMBL4549553,8.7,nM,CHEMBL1075104,CCc1nc2cnc3ccc(Cl)cc3c2n1[C@@H]1CCO[C@H](CC#N)C1
167338,CHEMBL4549553,10.2,nM,CHEMBL1075104,CCc1nc2cnc3ccc(Cl)cc3c2n1[C@@H]1CCO[C@H](CC#N)C1
167339,CHEMBL4451151,3.21,nM,CHEMBL1075104,[2H]C([2H])([2H])c1cnc(Cc2nc3cnc4ccc(Cl)cc4c3n2[C@@H]2CCO[C@H](C)C2)cn1
167340,CHEMBL4451151,2.16,nM,CHEMBL1075104,[2H]C([2H])([2H])c1cnc(Cc2nc3cnc4ccc(Cl)cc4c3n2[C@@H]2CCO[C@H](C)C2)cn1
167341,CHEMBL4562596,9.73,nM,CHEMBL1075104,N#Cc1ccc2ncc3nc(Cc4csnn4)n([C@@H]4CC[C@H](F)C4)c3c2c1
167342,CHEMBL4562596,9.75,nM,CHEMBL1075104,N#Cc1ccc2ncc3nc(Cc4csnn4)n([C@@H]4CC[C@H](F)C4)c3c2c1
167343,CHEMBL4453844,25.7,nM,CHEMBL1075104,Cc1nc(Cc2nc3cnc4ccc(C(F)(F)F)cc4c3n2[C@@H]2CCOCC2(F)F)no1
167344,CHEMBL4453844,26.5,nM,CHEMBL1075104,Cc1nc(Cc2nc3cnc4ccc(C(F)(F)F)cc4c3n2[C@@H]2CCOCC2(F)F)no1
